Description,Solvent 1,Solvent 2,Solvent 3,Solvent 1_Molarity,Solvent 2_Molarity,Solvent 3_Molarity,Salt 1,Salt 2,Salt 3,Salt 1_Molarity,Salt 2_Molarity,Salt 3_Molarity,FC,OC,FO,InOr,F,sF,aF,O,sO,aO,C,sC,aC,CE (%),LCE,Current (mA/cm2),Capacity (mAh/cm2),Cycle
1 M LIPF6 EC-DMC (1:2 VOL),EC,DMC,,4.991483273148464,7.923022269588579,,LiPF6,,,1.0,,,0.15486462051385122,1.0,0.15486462051385122,1.1806753905994931,0.03921796758969597,0.0,0.03921796758969597,0.25324032990600515,0.25324032990600515,0.0,0.25324032990600515,0.25324032990600515,0.0,86.0,0.8538719643217619,0.5,0.5,100.0
1 M LIPF6 EC-DEC (3:7 WT),EC,DEC,,3.604119180576201,6.269086607859447,,LiPF6,,,1.0,,,0.14232244900188032,0.7025894136548511,0.20256845069942458,0.8686322708237114,0.03824463481264038,0.0,0.03824463481264038,0.18879857490438423,0.18879857490438423,0.0,0.2687182175465172,0.2687182175465172,0.0,87.0,0.8860566476931632,0.1,0.1,160.0
1 M LIPF6-EC/DEC (1:1 VOL.),EC,DEC,,7.494719629352049,4.126809447219165,,LiPF6,,,1.0,,,0.1391523567266217,0.808581579885922,0.17209439367423368,0.9709259960669807,0.038160713073204684,0.0,0.012720237691068228,0.22174291828146975,0.22174291828146975,0.025440475382136455,0.27423691535584344,0.27423691535584344,0.0,88.0,0.9208187539523752,0.5,0.5,100.0
0.6M LITFSI 0.4M LIBOB EC-EMC (5:5 WT),EC,EMC,,6.482964700884059,5.483966394079497,,LiTFSI,LiBOB,,0.6,0.4,,0.08147605704220742,0.9392558336046142,0.08674532978892872,1.0705228143948373,0.022182629935841598,0.0,0.022182629935841598,0.2557213165229416,0.2212150032894102,0.03450631323353137,0.2722594924340807,0.25500633581731497,0.017253156616765686,88.1,0.9244530386074693,0.5,1.0,10.0
1M LIPF6 EC-DEC (1:1 W/W),EC,DEC,,6.368062430168407,4.747179494840347,,LiPF6,,,1.0,,,0.14005574528981776,0.7783767459418648,0.17993310568437537,0.9417751154466522,0.038184977590837735,0.0,0.038184977590837735,0.21221763191159967,0.21221763191159967,0.0,0.2726412794549874,0.2726412794549874,0.0,90.3,1.0132282657337552,1.0,1.0,40.0
1 M LIPF6 EC-DMC (1:2 VOL) 2% TTFEB,EC,DMC,,4.991483273148464,7.923022269588579,,LiPF6,,,1.0,,,0.17393877666695223,0.992909949272025,0.17518081754994952,1.1946568469288068,0.04401388163655653,0.005382249884436918,0.03863163175211961,0.2512482944886748,0.2512482944886748,0.0,0.25304237778348715,0.25304237778348715,0.0,91.0,1.0457574905606752,0.5,0.5,100.0
0.6M LITFSI 0.4M LIBOB EC-EMC (7:3 WT),EC,EMC,,9.59422207414963,3.478196464087141,,LiTFSI,LiBOB,,0.6,0.4,,0.07912878838449285,0.9850930931972601,0.08032620361560863,1.1125783633722766,0.022043267937924684,0.0,0.022043267937924684,0.2744218815993108,0.2401323536958724,0.0342895279034384,0.27857456670276254,0.2614298027510433,0.0171447639517192,91.6,1.075720713938118,0.5,1.0,10.0
0.6M LITFSI 0.4M LIBOB EC-EMC (9:1 WT),EC,EMC,,13.082165321795536,1.2295841365557074,,LiTFSI,LiBOB,,0.6,0.4,,0.07665309993621504,1.0334381233672256,0.07417289744107577,1.1569347843755722,0.021889100478487408,0.0,0.021889100478487408,0.29510914678608163,0.2610594349306568,0.03404971185542486,0.28556053827831984,0.2685356823506074,0.01702485592771243,91.7,1.0809219076239263,0.5,1.0,10.0
1 M LIPF6 FEC-DMC (1:1 V),FEC,DMC,,6.8549983970430155,5.9392970536646015,,LiPF6,,,1.0,,,0.33491484405606825,1.0,0.3349148440560682,1.3609681218326808,0.08696295308457,0.04637347167106454,0.04058948141350546,0.2596569086976972,0.2596569086976972,0.0,0.2596569086976972,0.2596569086976972,0.0,91.78,1.08512818245995,1.0,1.0,50.0
1 M LIPF6 FEC-EC-DEC (2:9:9 VOL),FEC,EC,DEC,1.3709996794086032,6.7452476664168435,3.714128502497249,LiPF6,,,1.0,,,0.17174057262699097,0.826925360582763,0.20768570032240805,1.0219654285423558,0.047244914118630334,0.008787513896015538,0.0384574002226148,0.22748274939145094,0.22748274939145094,0.0,0.27509465815770356,0.27509465815770356,0.0,92.2,1.1079053973095199,0.5,1.0,150.0
1 M LITFSI EC-DMC (1:1 V) 5WT% FEC,EC,DMC,,7.494719629352049,5.9392970536646015,0.6854998397043016,LiTFSI,,,1.0,,,0.15071502347999757,1.045087136966161,0.1442128777103852,1.2634328658954,0.039541912748719335,0.004054442524980672,0.03548747022373867,0.2741912745693154,0.25053296108682294,0.023658313482492442,0.2623621178280692,0.25053296108682294,0.011829156741246221,92.2,1.1079053973095199,0.5,0.5,50.0
3.57 M LITFSI DME,DME,,,9.631602308033731,,,LiTFSI,,,3.57,0.0,,0.4690537390648834,0.7345268695324417,0.6385794155678151,1.4381074781297667,0.10140814491778125,0.0,0.10140814491778125,0.15880271497259377,0.09119728502740626,0.0676054299451875,0.2161972850274063,0.18239457005481252,0.03380271497259375,92.8,1.1426675035687313,1.0,1.0,12.0
1M LIFSI EC/DEC (V 1:1),EC,DEC,,4.126809447219165,7.494719629352049,,LiFSI,,,1.0,,,0.0463841189088739,0.9013498177036698,0.051460729228353014,1.0173101149758546,0.01256046558333769,0.0,0.01256046558333769,0.24407865515472185,0.21895772398804647,0.02512093116667538,0.27079237201883566,0.27079237201883566,0.0,93.0,1.1549019599857435,0.5,1.0,10.0
0.1M LIDFP 0.4M LITFSI EC-DMC (3:7 V/V),EC,DMC,,4.496831777611229,8.315015875130442,,LiDFP,LiTFSI,,0.1,0.4,,0.06626644628744607,1.025487094725941,0.06461948339306564,1.12488676415711,0.017133611588737205,0.0,0.017133611588737205,0.2651462173492991,0.2532844862494041,0.011861731099894987,0.2585563667382463,0.2532844862494041,0.005271880488842216,93.6,1.1938200260161125,0.4,0.8,10.0
0.84 M LITFSI 2.7M LIDFP DME,DME,,,9.631602308033731,,,LiTFSI,LiDFP,,0.84,2.7,,0.25966009398461387,0.6969835195745346,0.37254839848024,1.0864736605514556,0.05681767564396759,0.0,0.05681767564396759,0.1525108573161165,0.10483625591370692,0.04767460140240958,0.21881558606897183,0.20967251182741384,0.009143074241558002,93.9,1.2146701649892333,1.0,1.0,12.0
1 M LIFSI IN TETRAGLYME,Tetraglyme,,,4.539401464845507,,,LiFSI,,,1.0,,,0.04405867195242815,0.5881173439048563,0.07491476388010726,0.6982640237859267,0.011238616070074245,0.0,0.011238616070074245,0.1500187077684767,0.1275414756283282,0.02247723214014849,0.2550829512566564,0.2550829512566564,0.0,94.0,1.2218487496163568,0.1,0.2,30.0
1 M LIPF6 FEC-DMC (1:1 V) 0.25WT% 12-CROWN-4,FEC,DMC,12-Crown-4,6.8549983970430155,5.9392970536646015,0.015464678107690913,LiPF6,,,1.0,,,0.3338388000015344,0.9983935557446452,0.33437595633571865,1.3582019272459571,0.08670895810289687,0.0462380274540799,0.040470930648816975,0.25931576855316635,0.25931576855316635,0.0,0.2597330151633014,0.2597330151633014,0.0,94.05,1.2254830342714504,1.0,1.0,50.0
0.11 M LITFSI 3.9 M LIDFP DME,DME,,,9.631602308033731,,,LiTFSI,LiDFP,,0.11,3.9,,0.2183428133769766,0.7098258951246833,0.30760051848858516,1.0373401151901482,0.04719253586437422,0.0,0.04719253586437422,0.15342150948333172,0.1074562026839885,0.045965306799343214,0.21613963443300802,0.214912405367977,0.0012272290650310082,94.3,1.2441251443275083,1.0,1.0,12.0
1 M LIPF6 FEC-EC-DEC (2:9:9 VOL) 0.05 M RBNO3 0.05M 18-CROWN-6,FEC,EC,DEC,1.3709996794086032,6.7452476664168435,3.714128502497249,LiPF6,RbNO3,,1.0,0.05,,0.16937279227711274,0.8258647937381958,0.2050853766395144,1.0205136787582363,0.04654384825355682,0.00865711624060047,0.03788673201295635,0.2269486445899482,0.2260014762896243,0.0009471683003239088,0.2748012099688709,0.2748012099688709,0.0,94.4,1.2518119729938,0.5,1.0,150.0
0.1M LIDFP 0.4M LIFSI EC-DMC (3:7 V/V),EC,DMC,,4.496831777611229,8.315015875130442,,LiDFP,LiFSI,,0.1,0.4,,0.026017584845539562,1.0468316527219714,0.024853647458871392,1.1066720978667122,0.006695748163354539,0.0,0.006695748163354539,0.2694070628641078,0.2573547161700696,0.012052346694038171,0.2573547161700696,0.2573547161700696,0.0,94.5,1.2596373105057566,0.4,0.8,10.0
2M LITFSI 2M LIDFOB DME,DME,,,9.631602308033731,,,LiTFSI,LiDFOB,,2.0,2.0,,0.34389071205067545,0.7579180340380066,0.4537307421206324,1.2737541021140197,0.07763009415190071,0.0,0.07763009415190071,0.17109286840269106,0.09346277425079033,0.07763009415190071,0.22574059557753104,0.18692554850158066,0.038815047075950355,94.6,1.2676062401770312,0.5,1.0,10.0
1 M LIPF6 FEC-DMC (1:1 V) 2WT% 12-CROWN-4,FEC,DMC,12-Crown-4,6.8549983970430155,5.9392970536646015,0.1237174248615273,LiPF6,,,1.0,,,0.32649583693847495,0.987431122765965,0.3306517582957116,1.3393253165812153,0.08497170447604538,0.04531162742978557,0.0396600770462598,0.2569824667318197,0.2569824667318197,0.0,0.26025356179980175,0.26025356179980175,0.0,94.7,1.2757241303992115,1.0,1.0,50.0
